y,Vgs,psi
4e-07,-2.0,-6.327931686030662e-23
4e-07,-1.98,-3.5155176033503676e-23
4e-07,-1.96,3.412120026781239e-23
4e-07,-1.94,8.292485640844102e-23
4e-07,-1.92,6.927637630131607e-23
4e-07,-1.9,-4.3220187005895696e-23
4e-07,-1.88,-5.583469134732937e-23
4e-07,-1.8599999999999999,-8.271806125530277e-24
4e-07,-1.84,6.28657265540301e-23
4e-07,-1.82,-1.3648480107124957e-23
4e-07,-1.8,5.293955920339377e-23
4e-07,-1.78,-2.7296960214249913e-23
4e-07,-1.76,-8.623357885865314e-23
4e-07,-1.74,3.0605682664462024e-23
4e-07,-1.72,7.858215819253763e-23
4e-07,-1.7,-1.1994118882018901e-23
4e-07,-1.68,-6.224534109461533e-23
4e-07,-1.66,-5.997059441009451e-23
4e-07,-1.6400000000000001,-1.6957202557337067e-23
4e-07,-1.62,2.68833699079734e-24
4e-07,-1.6,4.549493369041652e-24
4e-07,-1.58,6.824240053562478e-23
4e-07,-1.56,-7.734138727370809e-23
4e-07,-1.54,-6.57608586979657e-23
4e-07,-1.52,4.1359030627651384e-23
4e-07,-1.5,6.824240053562478e-24
4e-07,-1.48,-1.2200914035157158e-23
4e-07,-1.46,1.7784383169890095e-23
4e-07,-1.44,6.803560538248653e-23
4e-07,-1.42,8.457921763354708e-23
4e-07,-1.4,-5.293955920339377e-23
4e-07,-1.38,-8.519960309296185e-23
4e-07,-1.3599999999999999,6.906958114817781e-23
4e-07,-1.3399999999999999,-6.162495563520056e-23
4e-07,-1.3199999999999998,2.0679515313825692e-24
4e-07,-1.2999999999999998,-2.83309359799412e-23
4e-07,-1.28,-2.5849394142282115e-23
4e-07,-1.26,-1.1580528575742387e-23
4e-07,-1.24,-2.6056189295420372e-23
4e-07,-1.22,6.245213624775359e-23
4e-07,-1.2,2.1713491079516976e-23
4e-07,-1.18,3.288042934898285e-23
4e-07,-1.1600000000000001,3.1226068123876795e-23
4e-07,-1.1400000000000001,8.933550615572699e-23
4e-07,-1.12,2.626298444855863e-23
4e-07,-1.1,8.892191584945048e-23
4e-07,-1.08,-1.7784383169890095e-23
4e-07,-1.06,-4.156582578078964e-23
4e-07,-1.04,4.756288522179909e-24
4e-07,-1.02,-4.342698215903395e-23
4e-07,-1.0,-7.713459212056983e-23
4e-07,-0.98,-1.9645539548134407e-23
4e-07,-0.96,6.886278599503955e-23
4e-07,-0.94,-7.651420666115506e-23
4e-07,-0.9199999999999999,6.86559908419013e-23
4e-07,-0.8999999999999999,6.203854594147708e-25
4e-07,-0.8799999999999999,1.6336817097922297e-23
4e-07,-0.8599999999999999,6.245213624775359e-23
4e-07,-0.8400000000000001,2.68833699079734e-23
4e-07,-0.8200000000000001,1.9645539548134407e-23
4e-07,-0.8,7.734138727370809e-23
4e-07,-0.78,4.301339185275744e-23
4e-07,-0.76,2.7090165061111656e-23
4e-07,-0.74,-4.839006583435212e-23
4e-07,-0.72,-8.499280793982359e-23
4e-07,-0.7,5.08716076720112e-23
4e-07,-0.6799999999999999,4.714929491552258e-23
4e-07,-0.6599999999999999,-1.0960143116327617e-23
4e-07,-0.6399999999999999,-2.481541837659083e-24
4e-07,-0.6199999999999999,4.880365614062863e-23
4e-07,-0.5999999999999999,5.66618719598824e-23
4e-07,-0.5800000000000001,1.075334796318936e-23
4e-07,-0.56,1.2407709188295415e-24
4e-07,-0.54,6.824240053562478e-24
4e-07,-0.52,-8.768114493062093e-23
4e-07,-0.5,-8.478601278668534e-24
4e-07,-0.48,-2.54358038360056e-23
4e-07,-0.45999999999999996,-1.8611563782443123e-24
4e-07,-0.43999999999999995,1.3028094647710186e-23
4e-07,-0.41999999999999993,-5.748905257243542e-23
4e-07,-0.3999999999999999,6.2038545941477076e-24
4e-07,-0.3799999999999999,4.094544032137487e-23
4e-07,-0.3599999999999999,-2.1920286232655233e-23
4e-07,-0.33999999999999986,8.478601278668534e-23
4e-07,-0.32000000000000006,-7.031035206700735e-24
4e-07,-0.30000000000000004,-2.1093105620102206e-23
4e-07,-0.28,2.088631046696395e-23
4e-07,-0.26,-4.756288522179909e-24
4e-07,-0.24,1.1787323728880644e-23
4e-07,-0.21999999999999997,-1.2407709188295415e-24
4e-07,-0.19999999999999996,-8.478601278668534e-24
4e-07,-0.17999999999999994,-1.0195001049716066e-22
4e-07,-0.15999999999999992,-7.237830359838992e-24
4e-07,-0.1399999999999999,5.790264287871194e-23
4e-07,-0.11999999999999988,0.0
4e-07,-0.09999999999999987,-9.40917946779069e-24
4e-07,-0.08000000000000007,8.675056674149878e-23
4e-07,-0.06000000000000005,4.7873077951506477e-23
4e-07,-0.040000000000000036,-1.540623890880014e-23
4e-07,-0.020000000000000018,1.3855275260263214e-23
4e-07,0.0,0.0
4e-07,0.02,-3.375930874982044e-23
4e-07,0.04,4.963083675318166e-24
4e-07,0.06,1.406207041340147e-23
4e-07,0.08,2.3161057151484775e-23
4e-07,0.1,-7.072394237328387e-23
4e-07,0.12,-9.27269466671944e-22
4e-07,0.14,2.5642598989143858e-23
4e-07,0.16,-9.595295105615121e-23
4e-07,0.18,6.815968247436948e-22
4e-07,0.2,1.6047303883528737e-22
4e-07,0.22,-2.183756817139993e-22
4e-07,0.24,-8.205631676526035e-22
4e-07,0.26,1.194448804526572e-21
4e-07,0.28,-8.271806125530277e-22
4e-07,0.3,-5.128519797828772e-22
4e-07,0.32,2.3161057151484775e-21
4e-07,0.34,3.110199103199384e-22
4e-07,0.36,1.0257039595657543e-21
4e-07,0.38,-1.8992066864217515e-21
4e-07,0.4,-2.4881592825595072e-21
4e-07,0.42,-3.9572320504536844e-21
4e-07,0.44,-3.441071348220595e-22
4e-07,0.46,4.910144116114772e-21
4e-07,0.48,-1.6940658945086007e-21
4e-07,0.5,9.237953080992213e-21
4e-07,0.52,3.1763735522036263e-22
4e-07,0.54,-4.4998625322884706e-21
4e-07,0.56,-3.1234339930002325e-21
4e-07,0.58,-3.414601568618898e-21
4e-07,0.6,-6.167458647195374e-21
4e-07,0.62,9.052664623780335e-21
4e-07,0.64,-2.1387581918171084e-20
4e-07,0.66,2.006409293808624e-20
4e-07,0.68,2.1387581918171084e-20
4e-07,0.7000000000000001,-9.899697571034635e-21
4e-07,0.72,-1.44524996625265e-20
4e-07,0.74,2.541098841762901e-21
4e-07,0.76,-5.082197683525802e-21
4e-07,0.78,1.7787691892340307e-20
4e-07,0.8,-2.8163845496205486e-20
4e-07,0.8200000000000001,-9.529120656610879e-22
4e-07,0.84,-2.5728625772849373e-20
4e-07,0.86,2.2499312661442353e-21
4e-07,0.88,1.971998580326418e-21
4e-07,0.9,6.765675666193724e-20
4e-07,0.92,1.1024663204106753e-20
4e-07,0.9400000000000001,-1.0270274485458392e-20
4e-07,0.96,-1.605392132842916e-20
4e-07,0.98,8.007108329513308e-21
4e-07,1.0,-5.389247126905486e-20
4e-07,1.0101010101010102,2.329340604949326e-20
4e-07,1.02020202020202,2.3822801641527197e-20
4e-07,1.0303030303030303,6.511565782017434e-20
4e-07,1.0404040404040404,-8.999725064576941e-21
4e-07,1.0505050505050506,1.2599615090407718e-20
4e-07,1.0606060606060606,3.875175733688424e-20
4e-07,1.0707070707070707,-9.396771758602394e-22
4e-07,1.0808080808080809,3.970466940254533e-20
4e-07,1.0909090909090908,1.3658406274475593e-20
4e-07,1.101010101010101,-7.824466850261599e-20
4e-07,1.1111111111111112,4.870439446712227e-20
4e-07,1.121212121212121,3.409307612698559e-20
4e-07,1.1313131313131313,3.39871970085788e-20
4e-07,1.1414141414141414,-2.7237403210146095e-20
4e-07,1.1515151515151516,-1.928323443983618e-20
4e-07,1.1616161616161615,5.1536660884503836e-20
4e-07,1.1717171717171717,2.354486895570938e-20
4e-07,1.1818181818181819,-1.3287829360051837e-20
4e-07,1.191919191919192,4.446922973085077e-20
4e-07,1.202020202020202,-4.997494388800372e-20
4e-07,1.2121212121212122,-1.461131834013668e-20
4e-07,1.2222222222222223,2.533157907882392e-20
4e-07,1.2323232323232323,-3.0228488305137843e-20
4e-07,1.2424242424242424,7.99387343971246e-21
4e-07,1.2525252525252526,6.140988867593677e-20
4e-07,1.2626262626262625,-5.1986647137732683e-20
4e-07,1.2727272727272727,-7.707999820014133e-20
4e-07,1.2828282828282829,2.4352197233561135e-20
4e-07,1.2929292929292928,-8.226807500207392e-20
4e-07,1.303030303030303,4.552802091491864e-21
4e-07,1.3131313131313131,-3.48342299558331e-20
4e-07,1.3232323232323233,-1.7999450129153882e-20
4e-07,1.3333333333333335,7.348010817431055e-20
4e-07,1.3434343434343434,-8.639736061993863e-20
4e-07,1.3535353535353536,-3.197549375884984e-20
4e-07,1.3636363636363638,2.0328790734103208e-20
4e-07,1.3737373737373737,2.346545961690429e-20
4e-07,1.3838383838383839,-6.97478692504713e-21
4e-07,1.393939393939394,-2.047437452191254e-20
4e-07,1.404040404040404,3.254459402028632e-20
4e-07,1.4141414141414141,1.0561442061077057e-20
4e-07,1.4242424242424243,2.3650748074116167e-20
4e-07,1.4343434343434343,-2.3306640939294108e-20
4e-07,1.4444444444444444,5.823351512373315e-22
4e-07,1.4545454545454546,3.6845933205562065e-20
4e-07,1.4646464646464648,1.545835128739098e-20
4e-07,1.474747474747475,-2.0328790734103208e-20
4e-07,1.4848484848484849,6.215104250478429e-20
4e-07,1.494949494949495,1.164670302474663e-20
4e-07,1.5050505050505052,-4.0763460586613204e-20
4e-07,1.5151515151515151,2.329340604949326e-21
4e-07,1.5252525252525253,-1.0058516248644817e-20
4e-07,1.5353535353535355,8.41738991333961e-20
4e-07,1.5454545454545454,-6.159517713314865e-20
4e-07,1.5555555555555556,-5.379982704044892e-20
4e-07,1.5656565656565657,-3.392102255957456e-20
4e-07,1.5757575757575757,6.101284198191132e-21
4e-07,1.5858585858585859,3.443718326180765e-20
4e-07,1.595959595959596,-7.676236084492097e-22
4e-07,1.606060606060606,1.4717197458543468e-20
4e-07,1.6161616161616164,1.1064367873509298e-19
4e-07,1.6262626262626263,3.8539999100070665e-20
4e-07,1.6363636363636365,-7.411538288475128e-22
4e-07,1.6464646464646466,7.453889935837843e-20
4e-07,1.6565656565656566,2.541098841762901e-20
4e-07,1.6666666666666667,-4.5951537388545793e-20
4e-07,1.676767676767677,-4.902203182234263e-20
4e-07,1.6868686868686869,-4.658681209898652e-20
4e-07,1.696969696969697,1.7830043539703022e-19
4e-07,1.7070707070707072,1.0495267612072815e-20
4e-07,1.7171717171717171,4.0935514154024234e-20
4e-07,1.7272727272727273,-8.099752558119247e-21
4e-07,1.7373737373737375,-6.313042435004707e-21
4e-07,1.7474747474747474,-2.7660919683773245e-20
4e-07,1.7575757575757578,-2.3412520057700895e-20
4e-07,1.7676767676767677,1.78406314515437e-20
4e-07,1.7777777777777777,-8.867376166568457e-22
4e-07,1.787878787878788,-3.7944429059032486e-20
4e-07,1.797979797979798,-1.7615638324929277e-20
4e-07,1.8080808080808082,3.3365157187938924e-20
4e-07,1.8181818181818183,3.091670257478196e-20
4e-07,1.8282828282828283,-1.3062836233437413e-20
4e-07,1.8383838383838385,7.930345968668387e-20
4e-07,1.8484848484848486,-2.7422691667357973e-20
4e-07,1.8585858585858586,-5.653944922922455e-20
4e-07,1.8686868686868687,3.218725199566341e-20
4e-07,1.878787878787879,-1.0587911840678754e-20
4e-07,1.8888888888888888,8.830318475126081e-20
4e-07,1.8989898989898992,-4.235164736271502e-21
4e-07,1.9090909090909092,-5.1880768019325896e-21
4e-07,1.9191919191919191,-5.590417451878382e-20
4e-07,1.9292929292929295,-4.7963240638274757e-20
4e-07,1.9393939393939394,9.634999775017666e-20
4e-07,1.9494949494949496,4.2457526481121804e-20
4e-07,1.9595959595959598,3.39871970085788e-20
4e-07,1.9696969696969697,1.1858461261560205e-20
4e-07,1.97979797979798,-6.215104250478429e-20
4e-07,1.98989898989899,1.9058241313221758e-21
4e-07,2.0,2.116258879155666e-20
