y,Vgs,psi
0.0,-2.0,-0.3338810916779854
4.999999999999999e-10,-2.0,-0.2385930332751766
9.999999999999999e-10,-2.0,-0.20690474568419395
1.4999999999999998e-09,-2.0,-0.18737790993210707
1.9999999999999997e-09,-2.0,-0.17323569899690167
2.4999999999999996e-09,-2.0,-0.1621492192234459
2.9999999999999996e-09,-2.0,-0.15303587556617287
3.4999999999999995e-09,-2.0,-0.1453032893181274
3.9999999999999994e-09,-2.0,-0.13859174326505252
4.499999999999999e-09,-2.0,-0.13266630072342223
4.999999999999999e-09,-2.0,-0.1273650093317699
5.5e-09,-2.0,-0.12257147329171356
5.999999999999999e-09,-2.0,-0.11819921187152573
6.499999999999999e-09,-2.0,-0.11418220435571813
6.999999999999999e-09,-2.0,-0.11046889914339918
7.5e-09,-2.0,-0.10701826730554817
7.999999999999999e-09,-2.0,-0.10379711653419273
8.499999999999998e-09,-2.0,-0.10077821126161927
8.999999999999998e-09,-2.0,-0.09793892493746532
9.499999999999999e-09,-2.0,-0.09526025331324013
9.999999999999999e-09,-2.0,-0.09272607855210697
1.0499999999999998e-08,-2.0,-0.09032261132561178
1.1e-08,-2.0,-0.08803796160301042
1.1499999999999999e-08,-2.0,-0.08586180406760159
1.1999999999999998e-08,-2.0,-0.08378511417270626
1.2499999999999998e-08,-2.0,-0.08179995765816406
1.2999999999999997e-08,-2.0,-0.07989932103371178
1.3499999999999998e-08,-2.0,-0.07807697381512137
1.3999999999999998e-08,-2.0,-0.0763273556300431
1.4499999999999997e-08,-2.0,-0.07464548299097921
1.5e-08,-2.0,-0.07302687176011663
1.5499999999999997e-08,-2.0,-0.07146747223789562
1.5999999999999998e-08,-2.0,-0.06996361448518248
1.65e-08,-2.0,-0.06851196200089067
1.6999999999999997e-08,-2.0,-0.06710947226723299
1.7499999999999998e-08,-2.0,-0.06575336297506883
1.7999999999999996e-08,-2.0,-0.06444108297475568
1.8499999999999997e-08,-2.0,-0.0631702871800501
1.8999999999999998e-08,-2.0,-0.06193881479606916
1.9499999999999996e-08,-2.0,-0.06074467035611648
1.9999999999999997e-08,-2.0,-0.059586007143030736
2.0499999999999998e-08,-2.0,-0.05846111264370222
2.0999999999999996e-08,-2.0,-0.057368395744384175
2.1499999999999997e-08,-2.0,-0.05630637542235328
2.2e-08,-2.0,-0.05527367072862541
2.2499999999999996e-08,-2.0,-0.05426899188857595
2.2999999999999998e-08,-2.0,-0.05329113237383007
2.3499999999999995e-08,-2.0,-0.052338961820761136
2.3999999999999997e-08,-2.0,-0.051411419689223414
2.4499999999999998e-08,-2.0,-0.050507509570428655
2.4999999999999996e-08,-2.0,-0.049626294065699676
2.5499999999999997e-08,-2.0,-0.04876689016863466
2.5999999999999995e-08,-2.0,-0.04792846509234486
2.6499999999999996e-08,-2.0,-0.04711023249117228
2.6999999999999997e-08,-2.0,-0.04631144903288446
2.7499999999999995e-08,-2.0,-0.04553141128296974
2.7999999999999996e-08,-2.0,-0.04476945286747575
2.8499999999999997e-08,-2.0,-0.0440249418849729
2.8999999999999995e-08,-2.0,-0.043297278541789844
2.9499999999999996e-08,-2.0,-0.042585892987748335
3e-08,-2.0,-0.04189024333229164
3.0499999999999995e-08,-2.0,-0.04120981382321685
3.099999999999999e-08,-2.0,-0.040544113172237356
3.15e-08,-2.0,-0.03989267301336039
3.1999999999999995e-08,-2.0,-0.03925504648160265
3.249999999999999e-08,-2.0,-0.038630806900915006
3.3e-08,-2.0,-0.038019546571371486
3.3499999999999996e-08,-2.0,-0.03742087564671944
3.3999999999999993e-08,-2.0,-0.03683442109430722
3.45e-08,-2.0,-0.03625982573021768
3.4999999999999996e-08,-2.0,-0.035696747323154795
3.5499999999999994e-08,-2.0,-0.035144857761268425
3.599999999999999e-08,-2.0,-0.034603842276669
3.6499999999999996e-08,-2.0,-0.03407339872288811
3.6999999999999994e-08,-2.0,-0.033553236900990754
3.749999999999999e-08,-2.0,-0.033043077930446516
3.7999999999999996e-08,-2.0,-0.03254265366122615
3.8499999999999994e-08,-2.0,-0.0320517061239119
3.899999999999999e-08,-2.0,-0.031569987014898306
3.9499999999999996e-08,-2.0,-0.031097257214019926
3.9999999999999994e-08,-2.0,-0.03063328633217569
4.049999999999999e-08,-2.0,-0.030177852286729635
4.0999999999999997e-08,-2.0,-0.02973074090265794
4.1499999999999994e-08,-2.0,-0.029291745537583163
4.199999999999999e-08,-2.0,-0.028860666729013634
4.25e-08,-2.0,-0.028437311862114286
4.2999999999999995e-08,-2.0,-0.02802149485679575
4.349999999999999e-08,-2.0,-0.027613035872575617
4.4e-08,-2.0,-0.027211761030110533
4.4499999999999995e-08,-2.0,-0.0268175021482562
4.499999999999999e-08,-2.0,-0.026430096495622453
4.549999999999999e-08,-2.0,-0.02604938655567027
4.5999999999999995e-08,-2.0,-0.025675219804469806
4.649999999999999e-08,-2.0,-0.025307448500305047
4.699999999999999e-08,-2.0,-0.02494592948437116
4.7499999999999995e-08,-2.0,-0.02459052399186626
4.799999999999999e-08,-2.0,-0.024241097472830108
4.849999999999999e-08,-2.0,-0.023897519422128952
4.8999999999999995e-08,-2.0,-0.02355966321802868
4.949999999999999e-08,-2.0,-0.0232274059688378
5e-08,-2.0,-0.02290062836713796
5.3535353535353535e-08,-2.0,-0.020736851758958317
5.7070707070707066e-08,-2.0,-0.018805185638266546
6.060606060606061e-08,-2.0,-0.01707534204961849
6.414141414141413e-08,-2.0,-0.015522054203168403
6.767676767676767e-08,-2.0,-0.014124030973703206
7.121212121212121e-08,-2.0,-0.012863172902755437
7.474747474747475e-08,-2.0,-0.011723974414044075
7.828282828282828e-08,-2.0,-0.010693061168948052
8.181818181818181e-08,-2.0,-0.009758827178367777
8.535353535353534e-08,-2.0,-0.008911146689246167
8.888888888888888e-08,-2.0,-0.008141142904460767
9.242424242424242e-08,-2.0,-0.007441000450022668
9.595959595959596e-08,-2.0,-0.006803811909155684
9.94949494949495e-08,-2.0,-0.006223451169004579
1.0303030303030303e-07,-2.0,-0.005694468078863457
1.0656565656565657e-07,-2.0,-0.0052120002022928965
1.1010101010101009e-07,-2.0,-0.004771698396532676
1.1363636363636363e-07,-2.0,-0.004369663665236787
1.1717171717171717e-07,-2.0,-0.004002393270095247
1.207070707070707e-07,-2.0,-0.0036667344993651027
1.2424242424242423e-07,-2.0,-0.0033598448094985384
1.2777777777777777e-07,-2.0,-0.0030791573035652002
1.313131313131313e-07,-2.0,-0.002822350704240049
1.3484848484848484e-07,-2.0,-0.0025873231324408824
1.3838383838383838e-07,-2.0,-0.002372169124664992
1.4191919191919192e-07,-2.0,-0.002175159419747346
1.4545454545454545e-07,-2.0,-0.0019947231244741522
1.48989898989899e-07,-2.0,-0.00182943193129558
1.5252525252525253e-07,-2.0,-0.0016779861134047953
1.5606060606060606e-07,-2.0,-0.0015392020650938374
1.595959595959596e-07,-2.0,-0.0014120011904320865
1.6313131313131314e-07,-2.0,-0.0012953999724050918
1.6666666666666668e-07,-2.0,-0.0011885010788537829
1.702020202020202e-07,-2.0,-0.0010904853817799676
1.7373737373737372e-07,-2.0,-0.0010006047835606346
1.7727272727272726e-07,-2.0,-0.0009181757579228877
1.808080808080808e-07,-2.0,-0.0008425735256412445
1.8434343434343434e-07,-2.0,-0.0007732267952077419
1.8787878787878787e-07,-2.0,-0.000709613007499628
1.914141414141414e-07,-2.0,-0.0006512540309796166
1.9494949494949495e-07,-2.0,-0.000597712260414489
1.9848484848484849e-07,-2.0,-0.0005485870776575692
2.0202020202020202e-07,-2.0,-0.0005035116378481076
2.0555555555555556e-07,-2.0,-0.0004621499485508735
2.0909090909090907e-07,-2.0,-0.0004241942129878256
2.126262626262626e-07,-2.0,-0.0003893624116803019
2.1616161616161615e-07,-2.0,-0.0003573960995914361
2.1969696969696968e-07,-2.0,-0.00032805839829043513
2.2323232323232322e-07,-2.0,-0.0003011321648001409
2.2676767676767676e-07,-2.0,-0.0002764183224157327
2.303030303030303e-07,-2.0,-0.0002537343297311085
2.3383838383838383e-07,-2.0,-0.00023291279314186883
2.3737373737373737e-07,-2.0,-0.0002138001916131386
2.409090909090909e-07,-2.0,-0.0001962557128516822
2.4444444444444445e-07,-2.0,-0.000180150189038364
2.47979797979798e-07,-2.0,-0.00016536512327568862
2.515151515151515e-07,-2.0,-0.00015179179873930248
2.55050505050505e-07,-2.0,-0.00013933046327028754
2.585858585858586e-07,-2.0,-0.00012788958281680993
2.621212121212121e-07,-2.0,-0.00011738515773788256
2.6565656565656567e-07,-2.0,-0.00010774009652619972
